NO,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との重複,緯度,経度,
1,鯖江幼稚園(王山保育所を含む),福井県鯖江市日の出町６-37,1,1,0,1,0,1,1,0,0,35.94243193,136.1859739,
2,進徳幼稚園,福井県鯖江市長泉寺町１丁目９-19,1,1,0,1,0,1,1,0,0,35.953064,136.184382,
3,鯖江東幼稚園,福井県鯖江市新横江２丁目６-37,0,1,0,1,0,1,1,0,0,35.939483,136.199131,
4,神明幼稚園,福井県鯖江市三六町１丁目８-24,1,1,0,1,0,1,1,0,0,35.971811,136.178243,
5,片上幼稚園,福井県鯖江市大野町16-６,1,0,0,1,0,1,1,0,0,35.97427405,136.231481,
6,北中山幼稚園,福井県鯖江市戸口町９-11-４,1,1,0,1,0,1,1,0,0,35.953344,136.244153,
7,早稲田保育所,福井県鯖江市本町４丁目６-17,1,1,0,1,0,1,1,0,0,35.949092,136.184354,
8,神明保育所,福井県鯖江市三六町１丁目１-12,1,1,0,1,0,1,1,0,0,35.968395,136.178937,
9,中河保育所,福井県鯖江市中野町208-１,1,1,0,1,0,1,1,0,0,35.954592,136.210323,
10,立待保育所,福井県鯖江市杉本町33-４-１,1,1,0,1,0,1,1,0,0,35.983532,136.173715,
11,石田保育所,福井県鯖江市石田上町44-１,0,1,0,1,0,1,1,0,0,35.97956,136.160939,
12,吉川保育所,福井県鯖江市大倉町５-20,1,1,0,1,0,1,1,0,0,35.962951,136.15644,
13,ゆたかこども園,福井県鯖江市上野田町２-９,1,1,0,1,0,1,1,0,0,35.942342,136.151608,
14,かわだ保育所,福井県鯖江市莇生田町10-５-１,1,1,0,1,0,1,1,0,0,35.946253,136.27237,
15,神明苑,福井県鯖江市神明町2丁目8-4,1,1,0,1,0,1,1,0,0,35.972491,136.183068,
16,ラポーゼかわだ,福井県鯖江市上河内町19-37-２,1,0,0,1,0,1,1,0,0,35.948039,136.300851,
17,嚮陽会館,福井県鯖江市桜町２丁目７-１,1,1,0,1,0,1,1,0,0,35.947777,136.179522,
18,夢みらい館・さばえ,福井県鯖江市三六町１丁目４-20,0,1,0,1,0,1,1,0,0,35.97072715,136.1793259,
19,市民活動交流センター,福井県鯖江市長泉寺町１丁目９-20,1,1,0,1,0,1,1,0,0,35.953925,136.184409,
20,高齢者憩の家,福井県鯖江市本町４丁目６-15,1,1,0,1,0,1,1,0,0,35.94961714,136.1841228,
21,いきいき未来館,福井県鯖江市定次町108,1,1,0,1,0,1,1,0,0,35.93860678,136.1980168,
22,本町児童センター,福井県鯖江市本町４丁目６-16,1,1,0,1,0,1,1,0,0,35.94951696,136.1842632,
23,舟津児童センター,福井県鯖江市舟津町４丁目８-16,1,1,0,1,0,1,1,0,0,35.934733,136.181772,
24,小黒町児童センター,福井県鯖江市小黒町１丁目１-18,1,1,0,1,0,1,1,0,0,35.95136255,136.1789083,
25,有定児童センター,福井県鯖江市有定町２丁目８-21,1,1,0,1,0,1,1,0,0,35.94520881,136.1743064,
26,柳町児童センター,福井県鯖江市柳町２丁目１-８,1,1,0,1,0,1,1,0,0,35.94716846,136.1892004,
27,長泉寺児童センター,福井県鯖江市長泉寺町２丁目３-11,1,1,0,1,0,1,1,0,0,35.954758,136.187104,
28,新横江児童センター,福井県鯖江市定次町108,0,1,0,1,0,1,1,0,0,35.93849385,136.1980168,
29,水落児童館,福井県鯖江市水落町1丁目８-22,1,1,0,1,0,1,1,0,0,35.95898561,136.1817409,
30,鳥羽中児童センター,福井県鯖江市神明町４丁目７-55,1,1,0,1,0,1,1,0,0,35.979449,136.185464,
31,神中児童センター,福井県鯖江市神中町３丁目５-31,0,1,0,1,0,1,1,0,0,35.975326,136.187095,
